T,Simulink
1.478,8.0018
1.479,8.0019
1.48,8.002
1.481,8.0021
1.482,8.0022
1.483,8.0023
1.484,8.0024
1.485,8.0025
1.486,8.0026
1.487,8.0027
1.488,8.0028
1.489,8.0029
1.49,8.003
1.491,8.0031
1.492,8.0032
1.493,8.0033
1.494,8.0034
1.495,8.0035
1.496,8.0036
1.497,8.0037
1.498,8.0038
1.499,8.0039
1.5,8.004
1.501,8.0041
1.502,8.0042
1.503,8.0043
1.504,8.0044
1.505,8.0045
1.506,8.0046
1.507,8.0047
1.508,8.0048
1.509,8.0049
1.51,8.005
1.511,8.0051
1.512,8.0052
1.513,8.0053
1.514,8.0054
1.515,8.0055
1.516,8.0056
1.517,8.0057
1.518,8.0058
1.519,8.0059
1.52,8.006
1.521,8.0061
1.522,8.0062
1.523,8.0063
1.524,8.0064
1.525,8.0065
1.526,8.0066
1.527,8.0067
1.528,8.0068
1.529,8.0069
1.53,8.007
1.531,8.0071
1.532,8.0072
1.533,8.0073
1.534,8.0074
1.535,8.0075
1.536,8.0076
1.537,8.0077
1.538,8.0078
1.539,8.0079
1.54,8.008
1.541,8.0081
1.542,8.0082
1.543,8.0083
1.544,8.0084
1.545,8.0085
1.546,8.0086
1.547,8.0087
1.548,8.0088
1.549,8.0089
1.55,8.009
1.551,8.0091
1.552,8.0092
1.553,8.0093
1.554,8.0094
1.555,8.0095
1.556,8.0096
1.557,8.0097
1.558,8.0098
1.559,8.0099
1.56,8.01
1.561,8.0101
1.562,8.0102
1.563,8.0103
1.564,8.0104
1.565,8.0105
1.566,8.0106
1.567,8.0107
1.568,8.0108
1.569,8.0109
